"Activity" "Subject" "Type" "Coordinate" "mean" "std"
"WALKING" 3 "tBodyAcc" "Z" -0.106492632429097 -0.653625579293255
"WALKING" 3 "tBodyAccJerk" "X" 0.0701731261988856 -0.635484688041056
"WALKING" 3 "tBodyAccJerk" "Y" 0.0144664329060411 -0.55721186773783
"WALKING" 3 "tBodyAccJerk" "Z" -0.000526818872875366 -0.796066240234604
"WALKING" 3 "tBodyAccJerkMag" NA -0.650182434328446 -0.607658214170381
"WALKING" 3 "tBodyAccMag" NA -0.563140802770059 -0.591224780306452
"WALKING" 3 "tBodyGyro" "X" -0.0248490682828446 -0.699262195705865
"WALKING" 3 "tBodyGyro" "Y" -0.0743565308442815 -0.76302218170088
"WALKING" 3 "tBodyGyro" "Z" 0.0866875497119062 -0.709483440322581
"WALKING" 3 "tBodyGyroJerk" "X" -0.0991554609633431 -0.689328428607038
"WALKING" 3 "tBodyGyroJerk" "Y" -0.0401923943695015 -0.842659862111437
"WALKING" 3 "tBodyGyroJerk" "Z" -0.0521178264170088 -0.743028500565982
"WALKING" 3 "tBodyGyroJerkMag" NA -0.784056656246334 -0.80366136372434
"WALKING" 3 "tBodyGyroMag" NA -0.643150121648094 -0.674010290979472
"WALKING" 3 "tGravityAcc" "X" 0.707814353343108 -0.966457565630499
"WALKING" 3 "tGravityAcc" "Y" -0.0260590480328739 -0.9445645371261
"WALKING" 3 "tGravityAcc" "Z" 0.0480937904190616 -0.926966278211144
"WALKING" 3 "tGravityAccMag" NA -0.563140802770059 -0.591224780306452
"WALKING" 5 "fBodyAcc" "X" -0.55123770513245 -0.492829885748675
"WALKING" 5 "fBodyAcc" "Y" -0.440232431795033 -0.422162171100331
"WALKING" 5 "fBodyAcc" "Z" -0.696171811490066 -0.649351210748344
"WALKING" 5 "fBodyAccJerk" "X" -0.604769869438742 -0.584013626983444
"WALKING" 5 "fBodyAccJerk" "Y" -0.550991969857417 -0.491500434303907
"WALKING" 5 "fBodyAccJerk" "Z" -0.768762357980132 -0.798835563807947
"WALKING" 5 "fBodyAccJerkMag" NA -0.573176177044172 -0.613485123609272
"WALKING" 5 "fBodyAccMag" NA -0.528503022745033 -0.594259529756954
"WALKING" 5 "fBodyGyro" "X" -0.632239300829801 -0.73573857718543
"WALKING" 5 "fBodyGyro" "Y" -0.71706218781457 -0.702290390960265
"WALKING" 5 "fBodyGyro" "Z" -0.537329127293278 -0.669353687483444
"WALKING" 5 "fBodyGyroJerkMag" NA -0.748829309536424 -0.735610602483444
"WALKING" 5 "fBodyGyroMag" NA -0.677355755703311 -0.715731148145695
"WALKING" 5 "tBodyAcc" "X" 0.279177960301325 -0.507691011391722
"WALKING" 5 "tBodyAcc" "Y" -0.0154833455336192 -0.402724906078146
"WALKING" 5 "tBodyAcc" "Z" -0.105661736816887 -0.646443640175497
"WALKING" 5 "tBodyAccJerk" "X" 0.0841019899622517 -0.575890535679801
"WALKING" 5 "tBodyAccJerk" "Y" 0.0017656830384106 -0.506544358609603
"WALKING" 5 "tBodyAccJerk" "Z" -0.0029537113427351 -0.78456199486755
"WALKING" 5 "tBodyAccJerkMag" NA -0.589313870006622 -0.589031268133113
"WALKING" 5 "tBodyAccMag" NA -0.460866415568709 -0.52162345171192
"WALKING" 5 "tBodyGyro" "X" -0.0294516873643046 -0.709955676983444
"WALKING" 5 "tBodyGyro" "Y" -0.0774316445596026 -0.705638306688742
"WALKING" 5 "tBodyGyro" "Z" 0.0866267116745033 -0.606589817380795
"WALKING" 5 "tBodyGyroJerk" "X" -0.103522877147351 -0.662581310334437
"WALKING" 5 "tBodyGyroJerk" "Y" -0.0490624519374172 -0.774114270364238
"WALKING" 5 "tBodyGyroJerk" "Z" -0.0506258160122517 -0.564680771249007
"WALKING" 5 "tBodyGyroJerkMag" NA -0.707383517582782 -0.734187493344371
"WALKING" 5 "tBodyGyroMag" NA -0.602770284825828 -0.664078383532781
"WALKING" 5 "tGravityAcc" "X" 0.698153719072848 -0.964629108807947
"WALKING" 5 "tGravityAcc" "Y" 0.112313109736755 -0.939973777950331
"WALKING" 5 "tGravityAcc" "Z" 0.0921607197449904 -0.94207867884106
"WALKING" 5 "tGravityAccMag" NA -0.460866415568709 -0.52162345171192
"WALKING" 6 "fBodyAcc" "X" -0.506174926221538 -0.506680276530492
"WALKING" 6 "fBodyAcc" "Y" -0.392041410138769 -0.396677793847908
"WALKING" 6 "fBodyAcc" "Z" -0.683725945015385 -0.694365207233846
"WALKING" 6 "fBodyAccJerk" "X" -0.549394273848923 -0.555346159400332
"WALKING" 6 "fBodyAccJerk" "Y" -0.503558973703692 -0.437837459287385
"WALKING" 6 "fBodyAccJerk" "Z" -0.720867157741538 -0.755751144098462
"WALKING" 6 "fBodyAccJerkMag" NA -0.494882316238462 -0.516711262173969
"WALKING" 6 "fBodyAccMag" NA -0.473974924380431 -0.570910289993846
"WALKING" 6 "fBodyGyro" "X" -0.537201442069846 -0.692862440004
"WALKING" 6 "fBodyGyro" "Y" -0.621188724858462 -0.633236229753846
"WALKING" 6 "fBodyGyro" "Z" -0.507604207506462 -0.67302031484
"WALKING" 6 "fBodyGyroJerkMag" NA -0.651886909221538 -0.660175875210246
"WALKING" 6 "fBodyGyroMag" NA -0.579130051151385 -0.657368673849846
"WALKING" 6 "tBodyAcc" "X" 0.272376614181538 -0.505086085072062
"WALKING" 6 "tBodyAcc" "Y" -0.0175697042641846 -0.368403670137262
"WALKING" 6 "tBodyAcc" "Z" -0.11599454136 -0.672512004586708
"WALKING" 6 "tBodyAccJerk" "X" 0.0813833604034769 -0.531468310262154
"WALKING" 6 "tBodyAccJerk" "Y" 0.000479281129661539 -0.454437496885815
"WALKING" 6 "tBodyAccJerk" "Z" -0.00225896302076923 -0.738955207627692
"WALKING" 6 "tBodyAccJerkMag" NA -0.551413652396923 -0.502935062310769
"WALKING" 6 "tBodyAccMag" NA -0.464770006998123 -0.483790606354154
"WALKING" 6 "tBodyGyro" "X" -0.0433611785374462 -0.653800660041538
"WALKING" 6 "tBodyGyro" "Y" -0.0706129097498462 -0.626252072652308
"WALKING" 6 "tBodyGyro" "Z" 0.0973130293888923 -0.599910232855692
"WALKING" 6 "tBodyGyroJerk" "X" -0.0829159966093231 -0.546009968372308
"WALKING" 6 "tBodyGyroJerk" "Y" -0.0454921005615385 -0.677635980501539
"WALKING" 6 "tBodyGyroJerk" "Z" -0.0533610323667692 -0.526908306306892
"WALKING" 6 "tBodyGyroJerkMag" NA -0.621936158532308 -0.644474485460492
"WALKING" 6 "tBodyGyroMag" NA -0.549494852037046 -0.579837818063692
"WALKING" 6 "tGravityAcc" "X" 0.688702063569231 -0.958898709015385
"WALKING" 6 "tGravityAcc" "Y" 0.0162055455953846 -0.9509348864
"WALKING" 6 "tGravityAcc" "Z" 0.0475199990906462 -0.937910223507692
"WALKING" 6 "tGravityAccMag" NA -0.464770006998123 -0.483790606354154
"WALKING" 7 "fBodyAcc" "X" -0.593011288564935 -0.572347541484091
"WALKING" 7 "fBodyAcc" "Y" -0.563547785174026 -0.567046977262987
"WALKING" 7 "fBodyAcc" "Z" -0.531005941495552 -0.460792123277305
"WALKING" 7 "fBodyAccJerk" "X" -0.637521940243831 -0.626785744584416
"WALKING" 7 "fBodyAccJerk" "Y" -0.641687333850227 -0.62853163071948
"WALKING" 7 "fBodyAccJerk" "Z" -0.642515716574286 -0.684856438953896
"WALKING" 7 "fBodyAccJerkMag" NA -0.553360009658182 -0.550683254908442
"WALKING" 7 "fBodyAccMag" NA -0.518323878824675 -0.583819796092208
"WALKING" 7 "fBodyGyro" "X" -0.643767578493507 -0.703883646896104
"WALKING" 7 "fBodyGyro" "Y" -0.630419275006169 -0.671161922837662
"WALKING" 7 "fBodyGyro" "Z" -0.655083354905844 -0.698949518905844
"WALKING" 7 "fBodyGyroJerkMag" NA -0.668879188156396 -0.668963362464935
"WALKING" 7 "fBodyGyroMag" NA -0.628877272791136 -0.650923648207792
"WALKING" 7 "tBodyAcc" "X" 0.270211697814935 -0.577518324748052
"WALKING" 7 "tBodyAcc" "Y" -0.0187904887668182 -0.546403365345779
"WALKING" 7 "tBodyAcc" "Z" -0.112492375388312 -0.456473642256981
"WALKING" 7 "tBodyAccJerk" "X" 0.0831829573168831 -0.615131377408279
"WALKING" 7 "tBodyAccJerk" "Y" 0.00760909767418831 -0.622997416262013
"WALKING" 7 "tBodyAccJerk" "Z" -0.00791725696048701 -0.664336860544416
"WALKING" 7 "tBodyAccJerkMag" NA -0.622815767680292 -0.550560230585714
"WALKING" 7 "tBodyAccMag" NA -0.511312036747403 -0.510669879158539
"WALKING" 7 "tBodyGyro" "X" -0.0518716929407792 -0.687155474097403
"WALKING" 7 "tBodyGyro" "Y" -0.0646077113078896 -0.652408657909091
"WALKING" 7 "tBodyGyro" "Z" 0.0977671721406169 -0.663340760331169
"WALKING" 7 "tBodyGyroJerk" "X" -0.0942037376182662 -0.701731200484416
"WALKING" 7 "tBodyGyroJerk" "Y" -0.0414401406082792 -0.674920114957468
"WALKING" 7 "tBodyGyroJerk" "Z" -0.0610307928148701 -0.750808705594156
"WALKING" 7 "tBodyGyroJerkMag" NA -0.713191348337662 -0.658017844948377
"WALKING" 7 "tBodyGyroMag" NA -0.581899897967532 -0.598670795839286
"WALKING" 7 "tGravityAcc" "X" 0.681289120844156 -0.956538178587662
"WALKING" 7 "tGravityAcc" "Y" -0.0420221452496753 -0.955312554090909
"WALKING" 7 "tGravityAcc" "Z" 0.0342160711928604 -0.923304724090909
"WALKING" 7 "tGravityAccMag" NA -0.511312036747403 -0.510669879158539
"WALKING" 8 "fBodyAcc" "X" -0.744952162134343 -0.750599893474747
"WALKING" 8 "fBodyAcc" "Y" -0.581854533434343 -0.581953413010101
"WALKING" 8 "fBodyAcc" "Z" -0.779333525707071 -0.775167074012121
"WALKING" 8 "fBodyAccJerk" "X" -0.766583223 -0.772811330494949
"WALKING" 8 "fBodyAccJerk" "Y" -0.6623484276 -0.605587691511111
"WALKING" 8 "fBodyAccJerk" "Z" -0.825870984707071 -0.850822301313131
"WALKING" 8 "fBodyAccJerkMag" NA -0.715745792606061 -0.749236439787879
"WALKING" 8 "fBodyAccMag" NA -0.693568388292929 -0.770877890434343
"WALKING" 8 "fBodyGyro" "X" -0.683114151139394 -0.736277288818182
"WALKING" 8 "fBodyGyro" "Y" -0.757568269575758 -0.728609463015152
"WALKING" 8 "fBodyGyro" "Z" -0.758361298306364 -0.781839004848485
"WALKING" 8 "fBodyGyroJerkMag" NA -0.817455544646465 -0.850242418585859
"WALKING" 8 "fBodyGyroMag" NA -0.741679153929293 -0.755554747464646
"WALKING" 8 "tBodyAcc" "X" 0.278268887727273 -0.74865488820202
"WALKING" 8 "tBodyAcc" "Y" -0.0144537072594949 -0.563450610434343
"WALKING" 8 "tBodyAcc" "Z" -0.109006309141414 -0.764554510484848
"WALKING" 8 "tBodyAccJerk" "X" 0.0686095366464646 -0.75891396439596
"WALKING" 8 "tBodyAccJerk" "Y" 0.00496415698757576 -0.622728559242424
"WALKING" 8 "tBodyAccJerk" "Z" -0.0110211649991919 -0.839104346969697
"WALKING" 8 "tBodyAccJerkMag" NA -0.725727509270707 -0.72913616179798
"WALKING" 8 "tBodyAccMag" NA -0.684607146515152 -0.71328703040404
"WALKING" 8 "tBodyGyro" "X" -0.0246599261523232 -0.722590642727273
"WALKING" 8 "tBodyGyro" "Y" -0.0744394650058586 -0.737675052783838
"WALKING" 8 "tBodyGyro" "Z" 0.0811768351261616 -0.758998747676768
"WALKING" 8 "tBodyGyroJerk" "X" -0.107118837989899 -0.735883130212121
"WALKING" 8 "tBodyGyroJerk" "Y" -0.036876527389899 -0.817212596262626
"WALKING" 8 "tBodyGyroJerk" "Z" -0.0602582019292929 -0.821631316060606
"WALKING" 8 "tBodyGyroJerkMag" NA -0.790885296565657 -0.825828347373737
"WALKING" 8 "tBodyGyroMag" NA -0.663265892582828 -0.72093816099596
"WALKING" 8 "tGravityAcc" "X" 0.601782571919192 -0.974751332424242
"WALKING" 8 "tGravityAcc" "Y" 0.187298246666667 -0.955912054070707
"WALKING" 8 "tGravityAcc" "Z" 0.177007409196192 -0.956116882020202
"WALKING" 8 "tGravityAccMag" NA -0.684607146515152 -0.71328703040404
"WALKING_UPSTAIRS" 8 "fBodyAcc" "X" -0.493100898158791 -0.495451225035714
"WALKING_UPSTAIRS" 8 "fBodyAcc" "Y" -0.262394129472527 -0.268071852098901
"WALKING_UPSTAIRS" 8 "fBodyAcc" "Z" -0.426764775743407 -0.370711173704945
"WALKING_UPSTAIRS" 8 "fBodyAccJerk" "X" -0.496470870779121 -0.50375369885989
"WALKING_UPSTAIRS" 8 "fBodyAccJerk" "Y" -0.405368968365934 -0.375199658110989
"WALKING_UPSTAIRS" 8 "fBodyAccJerk" "Z" -0.545511445001648 -0.604806207873626
"WALKING_UPSTAIRS" 8 "fBodyAccJerkMag" NA -0.427796629448901 -0.546655472807692
"WALKING_UPSTAIRS" 8 "fBodyAccMag" NA -0.413399661273626 -0.5867768587
"WALKING_UPSTAIRS" 8 "fBodyGyro" "X" -0.556923952791209 -0.64209298143956
"WALKING_UPSTAIRS" 8 "fBodyGyro" "Y" -0.477139862384066 -0.488490067373626
"WALKING_UPSTAIRS" 8 "fBodyGyro" "Z" -0.398930833626374 -0.430017097315385
"WALKING_UPSTAIRS" 8 "fBodyGyroJerkMag" NA -0.639438448496154 -0.704299790384615
"WALKING_UPSTAIRS" 8 "fBodyGyroMag" NA -0.538348071541758 -0.572007930837912
"WALKING_UPSTAIRS" 8 "tBodyAcc" "X" 0.266674048906593 -0.492827508658791
"WALKING_UPSTAIRS" 8 "tBodyAcc" "Y" -0.0202216031321978 -0.232940759736264
"WALKING_UPSTAIRS" 8 "tBodyAcc" "Z" -0.105614723352747 -0.355279828382418
"WALKING_UPSTAIRS" 8 "tBodyAccJerk" "X" 0.0927048369369231 -0.476492149967033
"WALKING_UPSTAIRS" 8 "tBodyAccJerk" "Y" -0.00137201536971429 -0.369514157182418
"WALKING_UPSTAIRS" 8 "tBodyAccJerk" "Z" -0.0243776605506593 -0.575477616297802
"WALKING_UPSTAIRS" 8 "tBodyAccJerkMag" NA -0.43009251566033 -0.474901933907692
"WALKING_UPSTAIRS" 8 "tBodyAccMag" NA -0.350982093868132 -0.467415039361538
"WALKING_UPSTAIRS" 8 "tBodyGyro" "X" 0.0189575502203297 -0.620116117863736
"WALKING_UPSTAIRS" 8 "tBodyGyro" "Y" -0.100127874875824 -0.480245370202198
"WALKING_UPSTAIRS" 8 "tBodyGyro" "Z" 0.0547905121285714 -0.376704871767033
"WALKING_UPSTAIRS" 8 "tBodyGyroJerk" "X" -0.103800903023626 -0.641858248288461
"WALKING_UPSTAIRS" 8 "tBodyGyroJerk" "Y" -0.0418414216578022 -0.610128463632967
"WALKING_UPSTAIRS" 8 "tBodyGyroJerk" "Z" -0.0572174004291209 -0.627616233532967
"WALKING_UPSTAIRS" 8 "tBodyGyroJerkMag" NA -0.60984136456044 -0.656008680989011
"WALKING_UPSTAIRS" 8 "tBodyGyroMag" NA -0.374467449722308 -0.505532707924725
"WALKING_UPSTAIRS" 8 "tGravityAcc" "X" 0.672365454230769 -0.943108468384615
"WALKING_UPSTAIRS" 8 "tGravityAcc" "Y" -0.0550675502272528 -0.944385490274725
"WALKING_UPSTAIRS" 8 "tGravityAcc" "Z" 0.0328742204443956 -0.905264808527472
"WALKING_UPSTAIRS" 8 "tGravityAccMag" NA -0.350982093868132 -0.467415039361538
"WALKING_UPSTAIRS" 11 "fBodyAcc" "X" -0.619524028324684 -0.579491754749367
"WALKING_UPSTAIRS" 11 "fBodyAcc" "Y" -0.531455265662532 -0.502570240243354
"WALKING_UPSTAIRS" 11 "fBodyAcc" "Z" -0.750026145791139 -0.652095671108544
"WALKING_UPSTAIRS" 11 "fBodyAccJerk" "X" -0.676672987166456 -0.672195644346519
"WALKING_UPSTAIRS" 11 "fBodyAccJerk" "Y" -0.632374688606013 -0.609444998247785
"WALKING_UPSTAIRS" 11 "fBodyAccJerk" "Z" -0.825559590221519 -0.858259630601266
"WALKING_UPSTAIRS" 11 "fBodyAccJerkMag" NA -0.656133473274684 -0.676925075857595
"WALKING_UPSTAIRS" 11 "fBodyAccMag" NA -0.611528074359177 -0.674470159009494
"WALKING_UPSTAIRS" 11 "fBodyGyro" "X" -0.709949332117089 -0.751758277167721
"WALKING_UPSTAIRS" 11 "fBodyGyro" "Y" -0.776852868955696 -0.670892713066772
"WALKING_UPSTAIRS" 11 "fBodyGyro" "Z" -0.708842979272152 -0.75596062835443
"WALKING_UPSTAIRS" 11 "fBodyGyroJerkMag" NA -0.864827011392405 -0.879254016740506
"WALKING_UPSTAIRS" 11 "fBodyGyroMag" NA -0.757585939588608 -0.711267219682278
"WALKING_UPSTAIRS" 11 "tBodyAcc" "X" 0.27658531139557 -0.58947649779557
"WALKING_UPSTAIRS" 11 "tBodyAcc" "Y" -0.0191272531933228 -0.490379346996835
"WALKING_UPSTAIRS" 11 "tBodyAcc" "Z" -0.108941761642405 -0.665324314227848
"WALKING_UPSTAIRS" 11 "tBodyAccJerk" "X" 0.0830134540658228 -0.659323083055063
"WALKING_UPSTAIRS" 11 "tBodyAccJerk" "Y" 0.0078044254343038 -0.608784226719937
"WALKING_UPSTAIRS" 11 "tBodyAccJerk" "Z" -0.00657424975259494 -0.842511816044304
"WALKING_UPSTAIRS" 11 "tBodyAccJerkMag" NA -0.679819504547468 -0.664241760370253
"WALKING_UPSTAIRS" 11 "tBodyAccMag" NA -0.542825032813608 -0.612882270912658
"WALKING_UPSTAIRS" 11 "tBodyGyro" "X" -0.0547328440272468 -0.739922126628797
"WALKING_UPSTAIRS" 11 "tBodyGyro" "Y" -0.0582275770813291 -0.703501766487342
"WALKING_UPSTAIRS" 11 "tBodyGyro" "Z" 0.087284109682356 -0.725016008797468
"WALKING_UPSTAIRS" 11 "tBodyGyroJerk" "X" -0.0805473309873418 -0.781738140601266
"WALKING_UPSTAIRS" 11 "tBodyGyroJerk" "Y" -0.0493914065474684 -0.868377254082279
"WALKING_UPSTAIRS" 11 "tBodyGyroJerk" "Z" -0.0480140167267405 -0.795490882468354
"WALKING_UPSTAIRS" 11 "tBodyGyroJerkMag" NA -0.826829028481013 -0.866905012626582
"WALKING_UPSTAIRS" 11 "tBodyGyroMag" NA -0.628367851066456 -0.696771378957911
"WALKING_UPSTAIRS" 11 "tGravityAcc" "X" 0.730526184936709 -0.975394457689873
"WALKING_UPSTAIRS" 11 "tGravityAcc" "Y" 0.0527387028613924 -0.957138770727848
"WALKING_UPSTAIRS" 11 "tGravityAcc" "Z" 0.140209861246835 -0.956812000411392
"WALKING_UPSTAIRS" 11 "tGravityAccMag" NA -0.542825032813608 -0.612882270912658
"WALKING_UPSTAIRS" 14 "fBodyAcc" "X" -0.619513271851703 -0.609406374110062
"WALKING_UPSTAIRS" 14 "fBodyAcc" "Y" -0.455237617000929 -0.376829989404644
"WALKING_UPSTAIRS" 14 "fBodyAcc" "Z" -0.440650672343653 -0.275013722171486
"WALKING_UPSTAIRS" 14 "fBodyAccJerk" "X" -0.654385009392879 -0.661460356953251
"WALKING_UPSTAIRS" 14 "fBodyAccJerk" "Y" -0.598699531399381 -0.60215894382322
"WALKING_UPSTAIRS" 14 "fBodyAccJerk" "Z" -0.618712162187307 -0.694424996467802
"WALKING_UPSTAIRS" 14 "fBodyAccJerkMag" NA -0.596896308848452 -0.619215144539319
"WALKING_UPSTAIRS" 14 "fBodyAccMag" NA -0.490874179820433 -0.548269930770588
"WALKING_UPSTAIRS" 14 "fBodyGyro" "X" -0.699166400749226 -0.740052209854489
"WALKING_UPSTAIRS" 14 "fBodyGyro" "Y" -0.50463317018839 -0.348864187370186
"WALKING_UPSTAIRS" 14 "fBodyGyro" "Z" -0.42391821438452 -0.407672097170898
"WALKING_UPSTAIRS" 14 "fBodyGyroJerkMag" NA -0.717590101802972 -0.760560087962848
"WALKING_UPSTAIRS" 14 "fBodyGyroMag" NA -0.543030528985449 -0.516930495917399
"WALKING_UPSTAIRS" 14 "tBodyAcc" "X" 0.270184596009288 -0.611671118216099
"WALKING_UPSTAIRS" 14 "tBodyAcc" "Y" -0.0162548178510526 -0.374730765205077
"WALKING_UPSTAIRS" 14 "tBodyAcc" "Z" -0.100985935692074 -0.29354271467452
"WALKING_UPSTAIRS" 14 "tBodyAccJerk" "X" 0.0741757467665015 -0.641964198633003
"WALKING_UPSTAIRS" 14 "tBodyAccJerk" "Y" 0.00443682723817957 -0.586459622773684
"WALKING_UPSTAIRS" 14 "tBodyAccJerk" "Z" -0.00253044692473994 -0.656855586102105
"WALKING_UPSTAIRS" 14 "tBodyAccJerkMag" NA -0.608973420309907 -0.605144269857245
"WALKING_UPSTAIRS" 14 "tBodyAccMag" NA -0.453262620331889 -0.474058613408978
"WALKING_UPSTAIRS" 14 "tBodyGyro" "X" 0.000253671358297214 -0.728661379340557
"WALKING_UPSTAIRS" 14 "tBodyGyro" "Y" -0.0954921154823529 -0.398959362766099
"WALKING_UPSTAIRS" 14 "tBodyGyro" "Z" 0.0606712446996904 -0.364478192502167
"WALKING_UPSTAIRS" 14 "tBodyGyroJerk" "X" -0.107556127062003 -0.7862917325387
"WALKING_UPSTAIRS" 14 "tBodyGyroJerk" "Y" -0.0433200489340217 -0.6979155314613
"WALKING_UPSTAIRS" 14 "tBodyGyroJerk" "Z" -0.0450693836894427 -0.638299064788854
"WALKING_UPSTAIRS" 14 "tBodyGyroJerkMag" NA -0.700520939854799 -0.727023009383901
"WALKING_UPSTAIRS" 14 "tBodyGyroMag" NA -0.416459776709257 -0.471486714606811
"WALKING_UPSTAIRS" 14 "tGravityAcc" "X" 0.672081224882353 -0.941245714736842
"WALKING_UPSTAIRS" 14 "tGravityAcc" "Y" -0.111701388781115 -0.942377305312693
"WALKING_UPSTAIRS" 14 "tGravityAcc" "Z" -0.161179728291022 -0.915927846160991
"WALKING_UPSTAIRS" 14 "tGravityAccMag" NA -0.453262620331889 -0.474058613408978
"WALKING_UPSTAIRS" 15 "fBodyAcc" "X" -0.583772317445122 -0.547150855443902
"WALKING_UPSTAIRS" 15 "fBodyAcc" "Y" -0.507735205778384 -0.501568435233384
"WALKING_UPSTAIRS" 15 "fBodyAcc" "Z" -0.741745724698171 -0.711431340356707
"WALKING_UPSTAIRS" 15 "fBodyAccJerk" "X" -0.643469519361585 -0.637655155092835
"WALKING_UPSTAIRS" 15 "fBodyAccJerk" "Y" -0.609408057377744 -0.605854882622652
"WALKING_UPSTAIRS" 15 "fBodyAccJerk" "Z" -0.805543465588415 -0.845111060762195
"WALKING_UPSTAIRS" 15 "fBodyAccJerkMag" NA -0.614817605125915 -0.643101167069512
"WALKING_UPSTAIRS" 15 "fBodyAccMag" NA -0.562948391223628 -0.623655618198171
"WALKING_UPSTAIRS" 15 "fBodyGyro" "X" -0.664354428856402 -0.709336168176829
"WALKING_UPSTAIRS" 15 "fBodyGyro" "Y" -0.760711411006098 -0.684504735744512
"WALKING_UPSTAIRS" 15 "fBodyGyro" "Z" -0.711194539920732 -0.751696527195122
"WALKING_UPSTAIRS" 15 "fBodyGyroJerkMag" NA -0.83680189402439 -0.849634463841463
"WALKING_UPSTAIRS" 15 "fBodyGyroMag" NA -0.732394493841463 -0.695346839682927
"WALKING_UPSTAIRS" 15 "tBodyAcc" "X" 0.27821340725 -0.556541173089329
"WALKING_UPSTAIRS" 15 "tBodyAcc" "Y" -0.016464484771311 -0.481679537956006
"WALKING_UPSTAIRS" 15 "tBodyAcc" "Z" -0.112563587594512 -0.705706623868902
"WALKING_UPSTAIRS" 15 "tBodyAccJerk" "X" 0.0776897411304878 -0.624055782158537
"WALKING_UPSTAIRS" 15 "tBodyAccJerk" "Y" 0.00489392052706402 -0.594312678045091
